[2025-07-16T03:25:47.062Z] [Striker70] Por favor, inicie sesión con el comando: /login <contraseña>
[2025-07-16T03:25:47.159Z] [Striker70] Acceso exitoso!
[2025-07-16T03:28:26.611Z] [Striker70] Por favor, inicie sesión con el comando: /login <contraseña>
[2025-07-16T03:28:26.709Z] [Striker70] Acceso exitoso!
[2025-07-16T03:39:28.655Z] [Striker70] {"json":{"extra":[{"color":"red","text":"Por favor, inicie sesión con el comando: /login <contraseña>"}],"text":""},"text":"","extra":[{"json":{"color":"red","text":"Por favor, inicie sesión con el comando: /login <contraseña>"},"text":"Por favor, inicie sesión con el comando: /login <contraseña>","color":"red"}]}
[2025-07-16T03:39:28.751Z] [Striker70] {"json":{"extra":[{"color":"dark_green","text":"Acceso exitoso!"}],"text":""},"text":"","extra":[{"json":{"color":"dark_green","text":"Acceso exitoso!"},"text":"Acceso exitoso!","color":"dark_green"}]}
[2025-07-16T03:39:29.558Z] [Striker70] {"json":{"extra":[{"color":"gold","text":"[Rio de Plata] "},{"color":"yellow","text":"/town set board [msg]"}],"text":""},"text":"","extra":[{"json":{"color":"gold","text":"[Rio de Plata] "},"text":"[Rio de Plata] ","color":"gold"},{"json":{"color":"yellow","text":"/town set board [msg]"},"text":"/town set board [msg]","color":"yellow"}]}
[2025-07-16T03:39:29.570Z] [Striker70] {"json":{"extra":[{"color":"gold","text":"[Los E.A.U] "},{"color":"yellow","text":"El pais del futuro y del progreso"}],"text":""},"text":"","extra":[{"json":{"color":"gold","text":"[Los E.A.U] "},"text":"[Los E.A.U] ","color":"gold"},{"json":{"color":"yellow","text":"El pais del futuro y del progreso"},"text":"El pais del futuro y del progreso","color":"yellow"}]}
[2025-07-16T03:39:29.571Z] [Striker70] {"json":{"extra":[{"color":"gray","text":"["},{"color":"green","text":"+"},{"color":"gray","text":"] "},{"":"Striker70"}],"text":""},"text":"","extra":[{"json":{"color":"gray","text":"["},"text":"[","color":"gray"},{"json":{"color":"green","text":"+"},"text":"+","color":"green"},{"json":{"color":"gray","text":"] "},"text":"] ","color":"gray"},{"json":{"":"Striker70"}}]}
[2025-07-16T04:54:42.740Z] [Striker70] Por favor, inicie sesión con el comando: /login <contraseña>
[2025-07-16T04:54:42.839Z] [Striker70] Acceso exitoso!
[2025-07-16T04:54:43.567Z] [Striker70] [Rio de Plata] /town set board [msg]
[2025-07-16T04:54:43.569Z] [Striker70] [Los E.A.U] El pais del futuro y del progreso
[2025-07-16T04:54:43.572Z] [Striker70] [+] 
[2025-07-16T04:56:21.056Z] [Striker70] Por favor, inicie sesión con el comando: /login <contraseña>
[2025-07-16T04:56:21.189Z] [Striker70] Acceso exitoso!
